model,year,price,type,distance,fuel,tax,miles per galoon,size
2,2019,32000.0,2,15114.0,0,150.0,49.6,3.0
2,2017,17100.0,0,31528.0,0,145.0,64.2,2.0
4,2017,25498.0,2,20279.0,1,135.0,104.0847498788246,2.0
0,2016,11498.0,1,68985.0,0,20.0,68.9,2.0
0,2019,23000.0,2,1956.0,0,145.0,60.1,2.0
11,2016,12150.0,1,77482.0,0,20.0,68.9,2.0
3,2020,27500.0,2,25.0,0,145.0,60.1,2.0
15,2019,46600.0,2,9584.0,0,145.0,37.7,3.0
11,2013,8750.0,1,80625.0,0,160.0,51.4,2.0
11,2017,21498.0,2,19682.0,3,160.0,44.8,2.0
0,2016,18998.0,1,24997.0,3,260.0,36.2,3.0
3,2016,21898.0,2,10000.0,0,160.0,52.3,3.0
13,2017,23000.0,2,16945.0,0,150.0,54.3,2.0
11,2014,10985.0,2,56952.0,0,160.0,52.3,2.0
1,2019,21000.0,1,3078.0,3,145.0,39.8,1.5
3,2017,16750.0,1,24882.0,3,145.0,46.3,2.0
2,2016,19298.0,2,32382.0,0,200.0,49.6,3.0
0,2017,15498.0,1,19217.0,3,150.0,52.3,1.5
2,2016,16690.0,2,30271.0,0,145.0,53.3,3.0
2,2016,14800.0,0,38838.0,0,125.0,57.6,2.0
0,2014,12000.0,1,41500.0,0,125.0,57.6,2.0
4,2017,24998.0,2,24769.0,0,145.0,60.1,3.0
3,2015,15998.0,2,62943.0,0,30.0,65.7,2.0
2,2018,19998.0,2,16159.0,3,145.0,48.7,2.0
10,2019,47898.0,2,5650.0,3,145.0,32.5,3.0
0,2019,17998.0,1,6047.0,3,145.0,56.5,1.5
6,2016,26000.0,2,39085.0,0,145.0,54.3,3.0
2,2013,12298.0,2,73845.0,0,145.0,54.3,3.0
2,2015,16998.0,2,31915.0,0,145.0,53.3,3.0
1,2018,18498.0,2,7202.0,3,145.0,38.2,2.0
5,2016,18737.0,0,37868.0,0,160.0,51.4,3.0
4,2019,30000.0,2,5479.0,3,145.0,50.4,2.0
0,2018,11700.0,1,30273.0,0,145.0,53.3,1.5
2,2013,14990.0,2,35500.0,0,145.0,55.4,2.0
1,2016,16450.0,2,10250.0,0,30.0,62.8,2.0
1,2016,9500.0,1,59509.0,0,20.0,68.9,2.0
6,2019,48898.0,2,17501.0,0,145.0,41.5,3.0
4,2016,17498.0,2,29823.0,0,160.0,51.4,3.0
0,2019,22900.0,1,969.0,0,150.0,68.9,2.0
1,2017,12750.0,1,33752.0,3,125.0,52.3,1.5
2,2017,19698.0,2,20313.0,0,145.0,56.5,3.0
4,2017,30000.0,2,9750.0,0,150.0,56.5,3.0
13,2017,21750.0,0,25776.0,0,200.0,47.9,3.0
15,2016,35498.0,0,14626.0,0,235.0,42.8,3.0
2,2018,17498.0,2,16149.0,3,145.0,51.4,1.5
2,2019,24898.0,2,13125.0,0,145.0,52.3,2.0
1,2017,16000.0,0,32389.0,2,0.0,104.0847498788246,1.5
15,2019,50647.05545071274,2,6500.0,0,145.0,37.7,3.0
3,2019,26800.0,2,7667.0,0,145.0,58.9,2.0
2,2017,17000.0,0,31501.0,2,0.0,104.0847498788246,2.0
0,2017,13998.0,1,33094.0,0,20.0,72.4,1.5
15,2019,49998.0,2,7101.0,0,145.0,37.7,3.0
1,2018,21498.0,2,1749.0,0,145.0,47.1,2.0
10,2016,29998.0,2,34209.0,3,295.32841497346675,34.0,3.0
0,2017,13489.0,2,59066.0,0,20.0,72.4,1.5
1,2019,21000.0,1,1251.0,3,145.0,42.8,1.5
0,2015,12450.0,1,24474.0,3,125.0,52.3,1.5
3,2019,21998.0,2,16616.0,0,145.0,65.7,2.0
1,2017,16998.0,2,25544.0,0,145.0,64.2,2.0
13,2016,15900.0,0,59692.0,0,145.0,54.3,2.0
0,2016,14000.0,1,24678.0,0,30.0,65.7,2.0
3,2018,20990.0,2,26706.0,0,150.0,58.9,2.0
11,2020,31498.0,2,1560.0,0,145.0,60.1,2.0
3,2017,17998.0,0,43111.0,0,145.0,65.7,2.0
1,2019,23898.0,0,6375.0,0,145.0,61.4,2.0
2,2019,23298.0,2,14320.0,0,145.0,54.3,2.0
0,2016,10800.0,1,26404.0,3,125.0,53.3,1.5
